"","store_id","store_name","municipality","longitude","latitude"
"1",30215,"ROTECH  ","MONROEVILLE",NA,NA
"2",30217,"SHOP N SAVE","SHALER",NA,NA
"3",30422,"WHITE OAK PARK (MAINT AREA)","WHITE OAK",NA,NA
"4",30430,"SUNOCO","WHITE OAK",NA,NA
"5",30613,"JOHN & GERRYS MARKET","SPRINGDALE",NA,NA
"6",30643,"SHOE CARNIVAL","ROSS",NA,NA
"7",30646,"MARSHALLS","ROSS",NA,NA
"8",30658,"COSMO PROF","ROSS",NA,NA
"9",30829,"GNC","TARENTUM",NA,NA
"10",30921,"SUPER KMART","MOON",NA,NA
"11",30941,"FAMILY DOLLAR","RUSSELTON",NA,NA
"12",31103,"BIG LOTS","MCKEES ROCKS",NA,NA
"13",31455,"MOTHERHOOD MATERNITY","ROSS",NA,NA
"14",31576,"SUNOCO","MARSHALL",NA,NA
"15",31593,"SHEETZ","HAMPTON",NA,NA
"16",31621,"BP","ALLISON PARK",NA,NA
"17",31672,"PET SMART","ROSS",NA,NA
"18",31720,"CITGO","WEST VIEW",NA,NA
"19",32319,"GREEN GROCER","MCKEESPORT",NA,NA
"20",32405,"RAINBOW","MCKEES ROCKS",NA,NA
"21",32655,"412 EXCHANGE","NORTH VERSAILLES",NA,NA
"22",32772,"NCAH CASH FOR GOLD","PENN HILLS",NA,NA
"23",32811,"THR AND ASSOCIATES INC","SPRINGDALE",NA,NA
"24",32986,"WBMM MONEY CENTER","MONROEVILLE",NA,NA
"25",33022,"GET GO","CRAFTON",NA,NA
"26",33023,"FAT POCKET PAWN","NORTH VERSAILLES",NA,NA
"27",33039,"CRESCENT JEWELERS","BEN AVON",NA,NA
"28",33085,"CALGON CARBON CORP","ROBINSON",NA,NA
"29",33174,"LEE GOUCHNOUR & ASSOCIATES","ELIZABETH",NA,NA
"30",40167,"NORTH PARK HEAVY EQUIP","HAMPTON",NA,NA
"31",40259,"CAR WASH","HARMARVILLE",NA,NA
"32",40393,"DESI BAZAAR MARKET","SOUTH HILLS",NA,NA
"33",40403,"EVEREVE","MT LEBANON",NA,NA
"34",40431,"AT JEWELRY","TARENTUM",NA,NA
"35",40454,"OZARK NUT ROASTERS","MONROEVILLE",NA,NA
"36",40457,"GOLD RUSH","MONROEVILLE",NA,NA
"37",40557,"KIEV","SQUIRREL HILL",NA,NA
"38",40565,"OREILLY AUTO PARTS","HAMPTON",NA,NA
"39",40580,"UPMC PASSAVANT MCCANDLESS","MCCANDLESS",NA,NA
"40",40597,"AMERICAN NATURAL","MARSHALL",NA,NA
"41",40615,"SULTAN BEY","OAKLAND",NA,NA
"42",40616,"MILKSHAKE FACTORY","MOON",NA,NA
