"N";"store_id";"store_name";"address";"mailing_city";"state";"zip";"municipality";"neighborhood";"longitude";"latitude";"business_phone"
1;30215;"ROTECH  ";"339 OLD HAYMAKER RD STE 1706";"PITTSBURGH";"PA";15238;"MONROEVILLE";;40.4467015269049;-79.7601704311388;"412-967-1592"
2;30217;"SHOP N SAVE";"917 BUTLER ST";"GLENSHAW";"PA";15116;"SHALER";;40.5118954271101;-79.949942827438;"412-487-1460"
3;30422;"WHITE OAK PARK (MAINT AREA)";"3 MUSE LN";"MCKEESPORT";"PA";15131;"WHITE OAK";;40.3407357241035;-79.7846256176516;"412-678-3774"
4;30430;"SUNOCO";"2904 5TH AVE";"MCKEESPORT";"PA";15131;"WHITE OAK";;40.3584815622737;-79.8312436311413;"412-672-8857"
5;30613;"JOHN & GERRYS MARKET";"2850 FREEPORT RD";"CREIGHTON";"PA";15030;"SPRINGDALE";;40.5562665;-79.7712353;"724-325-5330"
6;30643;"SHOE CARNIVAL";"8000 MCKNIGHT RD";"PITTSBURGH";"PA";15237;"ROSS";;40.5513271118895;-80.0210039599715;"412-366-7434"
7;30646;"MARSHALLS";"8000 MCKNIGHT RD";"PITTSBURGH";"PA";15237;"ROSS";;40.5519000706444;-80.0219008446288;"412-369-4005"
8;30658;"COSMO PROF";"3160 MCINTYRE SQ";"PITTSBURGH";"PA";15237;"ROSS";;40.5533923222184;-80.0155297311357;"412-367-8218"
9;30829;"GNC";"2015 PGH MILLS BLVD";"TARENTUM";"PA";15084;"TARENTUM";;40.5704030797576;-79.8019782510288;"724-274-5828"
10;30921;"SUPER KMART";"2000 SCOTT BLVD";"CORAOPOLIS";"PA";15108;"MOON";;40.4576522106203;-80.179887084658;"412-859-0122"
11;30941;"FAMILY DOLLAR";"745 LITTLE DEER CREEK RD";"RUSSELLTON";"PA";15076;"RUSSELTON";;40.6171939946196;-79.8337597290259;"724-365-3280"
12;31103;"BIG LOTS";"132 MCKEES ROCKS PLZ";"MC KEES ROCKS";"PA";15136;"MCKEES ROCKS";;40.4653867791887;-80.0564553480568;"412-771-1611"
13;31455;"MOTHERHOOD MATERNITY";"8000 MCKNIGHT RD";"PITTSBURGH";"PA";15237;"ROSS";;40.5519000706444;-80.0219008446288;"412-366-1401"
14;31576;"SUNOCO";"19090 PERRY HWY";"WEXFORD";"PA";15090;"MARSHALL";;40.6740068838868;-80.0979480292828;"724-776-4560"
